tratamentos	rep    	acaros
sem_predador	r1	1181
sem_predador	r2	1083
sem_predador	r3	1603
sem_predador	r4	1391
sem_predador	r5	1233
sem_predador	r6	1108
sem_predador	r7	1177
sem_predador	r8	1524
sem_predador	r9	1622
sem_predador	r10	1401
com_predador	r1	832
com_predador	r2	631
com_predador	r3	638
com_predador	r4	812
com_predador	r5	821
com_predador	r6	602
com_predador	r7	937
com_predador	r8	452
com_predador	r9	702
com_predador	r10	537
