tratamento,repeticao,peso
1,1,5.451
1,2,6.414
1,3,3.7537
1,4,6.039
1,5,1.6247
1,6,2.0749
2,1,5.5405
2,2,7.6458
2,3,6.5932
2,4,0.2472
2,5,0.1892
2,6,0.3051
3,1,5.0534
3,2,1.1174
3,3,1.9602
3,4,0.8423
3,5,0.0041
3,6,0.0029
4,1,3.4076
4,2,2.962
4,3,1.5425
4,4,1.2459
4,5,3.1848
4,6,2.3268
