distancia;Npupas
20;9
40;4
60;2
80;0
100;0
20;8
40;3
60;1
80;1
100;0
20;10
40;2
60;1
80;0
100;0
20;7
40;5
60;1
80;0
100;0
20;4
40;3
60;0
80;0
100;0
